State,Leg_1,Leg_2,Leg_3,Leg_4,Leg_5,Leg_6,Leg_7,Leg_8,Leg_9,Leg_10
Alabama,1,0,0,1,1,1,1,1,1,0
Arkansas,0,0,1,0,0,0,1,1,1,0
Connecticut,1,0,0,1,1,1,0,1,1,1
Delaware,1,0,0,1,1,0,1,0,1,1
Florida,1,0,1,1,1,1,1,1,1,1
Georgia,1,1,0,1,1,1,1,1,1,0
Illinois,1,0,0,1,1,0,0,1,0,1
Indiana,1,0,0,1,1,1,1,1,0,0
Iowa,1,0,0,1,1,0,0,1,0,0
Kentucky,1,0,0,1,1,1,0,1,1,1
Louisiana,1,0,0,1,1,1,1,0,1,1
Maine,1,0,0,0,1,0,0,1,0,0
Maryland,1,0,0,1,1,0,1,1,1,1
Massachusetts,1,0,0,0,0,0,0,1,0,1
Michigan,1,0,0,1,1,0,1,1,0,0
Minnesota,1,0,0,1,0,0,0,0,0,1
Mississippi,1,1,1,1,1,1,1,1,1,0
Missouri,1,0,0,0,1,0,0,1,1,1
Nebraska,1,0,0,0,0,0,0,1,0,0
New Hampshire,1,0,0,1,1,0,0,1,1,0
New Jersey,1,0,0,1,1,0,1,1,0,1
New Mexico,1,1,0,1,1,1,1,1,1,0
New York,1,0,0,0,1,0,0,0,0,1
North Carolina,1,1,0,1,1,1,1,1,1,0
North Dakota,1,0,0,1,1,0,1,0,0,0
Ohio,1,0,0,0,1,0,1,1,1,1
Oklahoma,1,0,0,0,1,0,1,1,1,0
Pennsylvania,1,0,0,0,1,0,1,1,0,1
Rhode Island,1,0,0,0,1,1,1,1,1,1
South Carolina,1,0,0,0,1,1,1,1,1,1
South Dakota,1,0,0,1,1,0,1,0,0,0
Tennessee,1,0,0,1,1,0,1,1,0,0
Texas,1,1,0,0,1,0,1,1,0,1
Vermont,1,1,0,1,1,0,1,1,1,1
Virginia,1,1,1,1,1,1,0,1,0,0
West Virginia,1,0,0,1,1,0,1,1,1,0
Wisconsin,0,0,0,1,0,0,1,0,0,1
Nevada….1914,1,1,0,0,1,0,0,1,1,1
Montana….1914,1,0,0,0,1,0,0,0,0,0
Kansas….1912,0,0,0,0,0,0,0,0,0,0
Arizona….1912,1,0,0,0,0,0,1,0,0,0
Oregon….1912,0,0,0,0,0,0,0,1,0,0
California…..1911,0,0,0,0,0,0,0,0,0,1
Washington….1910,0,0,0,0,0,0,0,1,0,0
Utah…..1894,1,1,0,0,0,0,0,0,0,0
Idaho…...1890,1,0,0,0,1,0,0,0,0,0
Colorado…..1893,1,0,0,0,0,0,0,0,0,0
Wyoming….1869,1,1,0,1,1,0,0,0,1,1
